datetime,temperature,humidity,dew_point,feels_like,precip,rain,pressure_msl,pressure_surface,cloud,wind_speed,wind_dir,wind_gust,hour_sin,hour_cos,day_sin,day_cos,month,is_weekend
2024-05-01 00:00:00,22.1,97,21.6,25.5,6.1,6.1,1008.1,1007.2,100,9.6,70,22.0,0.0,1.0,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 01:00:00,22.2,98,21.8,25.7,4.8,4.8,1007.7,1006.8,100,8.7,120,17.6,0.25881904510252074,0.9659258262890683,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 02:00:00,22.0,97,21.5,25.6,1.5,1.5,1007.5,1006.6,100,7.4,61,17.6,0.49999999999999994,0.8660254037844387,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 03:00:00,22.0,97,21.4,24.8,0.2,0.2,1006.4,1005.5,98,11.8,113,20.9,0.7071067811865475,0.7071067811865476,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 04:00:00,22.3,97,21.9,25.7,0.1,0.1,1006.1,1005.2,100,10.0,105,19.8,0.8660254037844386,0.5000000000000001,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 05:00:00,22.7,97,22.1,26.7,0.1,0.1,1006.6,1005.7,100,6.7,106,16.9,0.9659258262890683,0.25881904510252074,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 06:00:00,22.6,96,22.0,26.9,2.2,2.2,1007.8,1006.9,100,4.1,75,14.0,1.0,6.123233995736766e-17,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 07:00:00,22.9,95,22.1,27.4,0.5,0.5,1008.2,1007.3,100,3.1,21,17.6,0.9659258262890683,-0.25881904510252063,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 08:00:00,23.0,96,22.2,27.4,2.2,2.2,1009.8,1008.9,100,4.3,42,22.3,0.8660254037844387,-0.4999999999999998,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 09:00:00,22.6,95,21.8,26.4,3.7,3.7,1010.2,1009.3,100,6.7,196,12.6,0.7071067811865476,-0.7071067811865475,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 10:00:00,23.1,92,21.7,27.0,3.9,3.9,1010.6,1009.7,100,5.9,218,13.3,0.49999999999999994,-0.8660254037844387,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 11:00:00,23.5,90,21.8,27.6,3.2,3.2,1011.1,1010.2,100,4.7,270,12.2,0.258819045102521,-0.9659258262890682,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 12:00:00,23.5,90,21.8,27.9,2.0,2.0,1010.7,1009.8,100,2.9,300,10.1,1.2246467991473532e-16,-1.0,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 13:00:00,23.5,91,22.0,28.0,1.8,1.8,1009.9,1009.0,100,3.1,45,8.6,-0.2588190451025208,-0.9659258262890683,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 14:00:00,24.0,89,22.0,28.0,0.9,0.9,1008.8,1007.9,100,5.6,50,13.0,-0.4999999999999997,-0.8660254037844388,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 15:00:00,25.5,82,22.1,29.5,0.1,0.1,1007.8,1006.9,100,6.5,19,17.6,-0.7071067811865471,-0.7071067811865479,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 16:00:00,26.0,76,21.5,30.1,0.0,0.0,1007.2,1006.3,96,4.1,75,15.5,-0.8660254037844384,-0.5000000000000004,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 17:00:00,26.0,74,21.0,30.3,0.0,0.0,1007.4,1006.5,60,0.8,117,10.8,-0.9659258262890683,-0.25881904510252063,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 18:00:00,25.8,75,21.0,29.6,0.0,0.0,1007.4,1006.5,85,3.7,61,6.5,-1.0,-1.8369701987210297e-16,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 19:00:00,24.2,86,21.8,28.0,0.0,0.0,1008.2,1007.3,25,6.9,47,10.8,-0.9659258262890684,0.2588190451025203,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 20:00:00,22.9,91,21.3,25.9,0.0,0.0,1009.2,1008.3,15,10.2,51,16.6,-0.8660254037844386,0.5000000000000001,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 21:00:00,22.4,94,21.2,25.3,0.0,0.0,1010.3,1009.4,93,10.5,41,17.3,-0.7071067811865477,0.7071067811865474,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 22:00:00,22.1,93,20.9,25.0,0.0,0.0,1011.1,1010.2,100,9.9,57,17.3,-0.5000000000000004,0.8660254037844384,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-01 23:00:00,21.7,92,20.4,24.1,0.1,0.1,1011.6,1010.7,100,11.0,52,18.0,-0.25881904510252157,0.9659258262890681,0.8638670987837349,-0.503719798736334,5,0.0
2024-05-02 00:00:00,21.2,92,20.0,23.6,0.0,0.0,1011.4,1010.5,100,10.0,49,18.0,0.0,1.0,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 01:00:00,20.8,93,19.6,22.8,0.0,0.0,1011.0,1010.1,97,11.5,51,18.4,0.25881904510252074,0.9659258262890683,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 02:00:00,20.4,93,19.2,22.2,0.0,0.0,1010.5,1009.6,92,10.8,64,20.2,0.49999999999999994,0.8660254037844387,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 03:00:00,20.3,93,19.1,22.2,0.0,0.0,1010.1,1009.2,98,10.4,56,18.0,0.7071067811865475,0.7071067811865476,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 04:00:00,20.3,92,19.0,21.9,0.0,0.0,1010.1,1009.2,93,12.3,58,20.2,0.8660254037844386,0.5000000000000001,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 05:00:00,20.5,92,19.1,22.5,0.0,0.0,1010.4,1009.5,100,10.1,63,20.5,0.9659258262890683,0.25881904510252074,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 06:00:00,20.7,93,19.5,23.0,0.1,0.1,1011.2,1010.3,100,9.2,59,16.9,1.0,6.123233995736766e-17,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 07:00:00,21.1,93,20.0,23.1,0.5,0.5,1011.5,1010.6,82,13.0,66,22.3,0.9659258262890683,-0.25881904510252063,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 08:00:00,22.9,90,21.1,25.4,0.1,0.1,1012.0,1011.1,100,12.8,79,24.5,0.8660254037844387,-0.4999999999999998,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 09:00:00,23.5,87,21.2,25.6,0.1,0.1,1013.0,1012.1,100,16.6,72,29.5,0.7071067811865476,-0.7071067811865475,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 10:00:00,24.1,86,21.6,26.3,0.1,0.1,1012.9,1012.0,100,17.4,84,30.2,0.49999999999999994,-0.8660254037844387,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 11:00:00,24.9,82,21.7,27.0,0.2,0.2,1012.9,1012.0,100,18.4,90,33.8,0.258819045102521,-0.9659258262890682,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 12:00:00,24.6,85,22.0,26.9,0.1,0.1,1012.9,1012.0,100,17.9,100,33.5,1.2246467991473532e-16,-1.0,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 13:00:00,24.8,83,21.7,26.9,0.1,0.1,1012.2,1011.3,100,18.4,102,33.1,-0.2588190451025208,-0.9659258262890683,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 14:00:00,25.3,81,21.9,27.5,0.0,0.0,1011.6,1010.7,100,18.1,111,33.5,-0.4999999999999997,-0.8660254037844388,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 15:00:00,24.8,82,21.5,26.9,0.0,0.0,1010.6,1009.7,100,17.3,107,32.8,-0.7071067811865471,-0.7071067811865479,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 16:00:00,25.1,81,21.6,26.8,0.0,0.0,1010.1,1009.2,100,20.9,111,36.0,-0.8660254037844384,-0.5000000000000004,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 17:00:00,24.7,82,21.5,26.0,0.0,0.0,1009.4,1008.5,100,22.7,110,39.2,-0.9659258262890683,-0.25881904510252063,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 18:00:00,23.9,86,21.5,26.0,0.0,0.0,1010.0,1009.1,50,17.3,107,38.5,-1.0,-1.8369701987210297e-16,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 19:00:00,23.4,89,21.4,25.8,0.0,0.0,1010.9,1010.0,100,14.6,106,29.2,-0.9659258262890684,0.2588190451025203,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 20:00:00,23.4,89,21.5,25.6,0.0,0.0,1011.6,1010.7,65,16.5,106,28.1,-0.8660254037844386,0.5000000000000001,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 21:00:00,23.0,92,21.7,25.5,0.0,0.0,1012.5,1011.6,100,15.9,96,27.4,-0.7071067811865477,0.7071067811865474,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 22:00:00,23.0,91,21.5,25.3,0.0,0.0,1012.7,1011.8,99,16.6,94,28.4,-0.5000000000000004,0.8660254037844384,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-02 23:00:00,22.9,92,21.5,25.2,0.1,0.1,1012.8,1011.9,92,16.0,98,28.8,-0.25881904510252157,0.9659258262890681,0.8550745085896932,-0.518505144391157,5,0.0
2024-05-03 00:00:00,22.7,92,21.4,25.1,0.5,0.5,1012.8,1011.9,100,14.8,103,27.7,0.0,1.0,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 01:00:00,22.5,93,21.2,24.8,0.2,0.2,1012.2,1011.3,79,15.4,101,26.6,0.25881904510252074,0.9659258262890683,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 02:00:00,22.4,92,21.1,24.5,0.0,0.0,1011.9,1011.0,67,16.1,100,27.4,0.49999999999999994,0.8660254037844387,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 03:00:00,22.2,93,21.0,24.2,0.0,0.0,1011.3,1010.4,64,17.1,98,29.2,0.7071067811865475,0.7071067811865476,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 04:00:00,22.2,93,21.0,23.9,0.0,0.0,1011.2,1010.3,83,18.4,101,31.0,0.8660254037844386,0.5000000000000001,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 05:00:00,22.3,92,20.9,23.7,0.0,0.0,1011.5,1010.6,80,19.8,102,33.5,0.9659258262890683,0.25881904510252074,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 06:00:00,22.5,90,20.8,23.8,0.0,0.0,1012.1,1011.2,84,20.2,101,35.3,1.0,6.123233995736766e-17,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 07:00:00,23.1,88,21.0,24.3,0.0,0.0,1012.5,1011.6,84,21.6,105,36.7,0.9659258262890683,-0.25881904510252063,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 08:00:00,24.1,83,21.0,24.6,0.0,0.0,1013.1,1012.2,98,26.6,106,45.4,0.8660254037844387,-0.4999999999999998,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 09:00:00,24.5,84,21.6,25.5,0.1,0.1,1013.6,1012.7,100,25.8,109,46.1,0.7071067811865476,-0.7071067811865475,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 10:00:00,25.4,80,21.8,26.4,0.0,0.0,1013.6,1012.7,100,25.9,106,45.4,0.49999999999999994,-0.8660254037844387,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 11:00:00,26.4,76,21.9,28.0,0.0,0.0,1013.7,1012.8,100,22.3,111,45.0,0.258819045102521,-0.9659258262890682,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 12:00:00,25.6,80,22.0,27.6,0.1,0.1,1013.1,1012.2,70,20.1,117,39.6,1.2246467991473532e-16,-1.0,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 13:00:00,25.9,82,22.5,28.6,0.8,0.8,1012.5,1011.6,99,20.8,124,38.9,-0.2588190451025208,-0.9659258262890683,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 14:00:00,25.0,86,22.5,27.2,1.5,1.5,1011.5,1010.6,95,20.6,109,37.8,-0.4999999999999997,-0.8660254037844388,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 15:00:00,24.9,87,22.5,27.2,0.4,0.4,1010.8,1009.9,88,19.5,113,36.7,-0.7071067811865471,-0.7071067811865479,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 16:00:00,25.1,84,22.3,27.6,0.1,0.1,1010.7,1009.8,100,17.6,118,37.1,-0.8660254037844384,-0.5000000000000004,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 17:00:00,24.9,85,22.1,27.4,0.0,0.0,1010.7,1009.8,100,16.3,112,31.3,-0.9659258262890683,-0.25881904510252063,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 18:00:00,24.4,87,22.0,27.4,0.0,0.0,1010.6,1009.7,100,13.1,111,29.5,-1.0,-1.8369701987210297e-16,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 19:00:00,23.8,90,22.0,26.7,0.0,0.0,1010.6,1009.7,100,13.9,107,23.8,-0.9659258262890684,0.2588190451025203,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 20:00:00,23.8,90,22.0,26.6,0.0,0.0,1011.0,1010.1,100,14.3,108,25.2,-0.8660254037844386,0.5000000000000001,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 21:00:00,23.2,93,22.0,26.3,0.0,0.0,1012.2,1011.3,100,12.5,108,21.2,-0.7071067811865477,0.7071067811865474,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 22:00:00,23.1,93,22.0,25.9,0.0,0.0,1012.3,1011.4,100,14.1,109,24.1,-0.5000000000000004,0.8660254037844384,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-03 23:00:00,23.0,94,22.0,25.8,0.1,0.1,1012.0,1011.1,100,14.6,106,25.2,-0.25881904510252157,0.9659258262890681,0.8460288880917339,-0.533137056031809,5,0.0
2024-05-04 00:00:00,23.0,94,22.0,25.6,0.4,0.4,1010.8,1009.9,100,16.2,107,27.4,0.0,1.0,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 01:00:00,23.0,94,22.0,25.5,0.6,0.6,1010.3,1009.4,100,17.1,112,29.5,0.25881904510252074,0.9659258262890683,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 02:00:00,22.9,96,22.1,25.7,0.9,0.9,1010.1,1009.2,100,14.9,110,28.8,0.49999999999999994,0.8660254037844387,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 03:00:00,22.9,96,22.2,25.7,0.3,0.3,1009.6,1008.7,100,14.8,103,25.6,0.7071067811865475,0.7071067811865476,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 04:00:00,22.8,96,22.1,25.6,0.1,0.1,1009.1,1008.2,100,14.8,108,25.9,0.8660254037844386,0.5000000000000001,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 05:00:00,22.9,96,22.1,25.6,0.1,0.1,1009.1,1008.2,100,15.0,107,25.9,0.9659258262890683,0.25881904510252074,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 06:00:00,23.0,95,22.1,25.7,0.3,0.3,1009.4,1008.5,100,16.1,114,27.4,1.0,6.123233995736766e-17,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 07:00:00,23.2,94,22.2,25.8,0.3,0.3,1009.8,1008.9,100,16.9,110,29.2,0.9659258262890683,-0.25881904510252063,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 08:00:00,23.6,93,22.4,26.7,1.3,1.3,1010.6,1009.7,100,14.1,128,29.5,0.8660254037844387,-0.4999999999999998,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 09:00:00,23.2,96,22.6,26.6,5.3,5.3,1010.5,1009.6,100,13.0,95,25.6,0.7071067811865476,-0.7071067811865475,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 10:00:00,24.2,87,21.9,26.7,0.9,0.9,1010.6,1009.7,100,16.8,133,30.2,0.49999999999999994,-0.8660254037844387,0.8367329140344921,-0.5476112038402312,5,1.0
2024-05-04 11:00:00,23.9,92,22.6,26.8,0.7,0.7,1010.4,1009.5,100,16.4,140,33.1,0.258819045102521,-0.9659258262890682,0.8367329140344921,-0.5476112038402312,5,1.0
